method,m,i,step,cost,time
random,1,2,407,36.811859130859375,4.937280893325806
random,1,2,408,36.77185821533203,4.937280893325806
random,1,2,409,36.78870391845703,4.937280893325806
random,1,2,410,36.74525451660156,4.937280893325806
random,1,2,411,36.984291076660156,4.937280893325806
random,1,2,412,37.272682189941406,4.937280893325806
random,1,2,413,37.2742919921875,4.937280893325806
random,1,2,414,37.04971694946289,4.937280893325806
random,1,2,415,37.31019973754883,4.937280893325806
random,1,2,416,36.797943115234375,4.937280893325806
random,1,2,417,36.82828903198242,4.937280893325806
random,1,2,418,36.76687240600586,4.937280893325806
random,1,2,419,36.773590087890625,4.937280893325806
random,1,2,420,36.668792724609375,4.937280893325806
random,1,2,421,36.618370056152344,4.937280893325806
random,1,2,422,36.618587493896484,4.937280893325806
random,1,2,423,36.51681137084961,4.937280893325806
random,1,2,424,35.989341735839844,4.937280893325806
random,1,2,425,36.004459381103516,4.937280893325806
random,1,2,426,36.03601837158203,4.937280893325806
random,1,2,427,36.02117156982422,4.937280893325806
random,1,2,428,35.75453567504883,4.937280893325806
random,1,2,429,35.80690383911133,4.937280893325806
random,1,2,430,36.34198760986328,4.937280893325806
random,1,2,431,36.28075408935547,4.937280893325806
random,1,2,432,36.50140380859375,4.937280893325806
random,1,2,433,36.735679626464844,4.937280893325806
random,1,2,434,36.68629455566406,4.937280893325806
random,1,2,435,36.69622039794922,4.937280893325806
random,1,2,436,36.41474914550781,4.937280893325806
random,1,2,437,36.355369567871094,4.937280893325806
random,1,2,438,36.36632537841797,4.937280893325806
random,1,2,439,36.33442687988281,4.937280893325806
random,1,2,440,36.213226318359375,4.937280893325806
random,1,2,441,36.61601257324219,4.937280893325806
random,1,2,442,36.822479248046875,4.937280893325806
random,1,2,443,36.72041320800781,4.937280893325806
random,1,2,444,36.60951232910156,4.937280893325806
random,1,2,445,36.75821304321289,4.937280893325806
random,1,2,446,36.7597770690918,4.937280893325806
random,1,2,447,36.627960205078125,4.937280893325806
random,1,2,448,36.607845306396484,4.937280893325806
random,1,2,449,36.62559127807617,4.937280893325806
random,1,2,450,36.36149978637695,4.937280893325806
random,1,2,451,36.44957733154297,4.937280893325806
random,1,2,452,36.62042236328125,4.937280893325806
random,1,2,453,37.008216857910156,4.937280893325806
random,1,2,454,37.127296447753906,4.937280893325806
random,1,2,455,37.156211853027344,4.937280893325806
random,1,2,456,36.909156799316406,4.937280893325806
random,1,2,457,37.16337203979492,4.937280893325806
random,1,2,458,37.30618667602539,4.937280893325806
random,1,2,459,37.36170196533203,4.937280893325806
random,1,2,460,37.30618667602539,4.937280893325806
random,1,2,461,37.19908142089844,4.937280893325806
random,1,2,462,37.39897918701172,4.937280893325806
random,1,2,463,37.112998962402344,4.937280893325806
random,1,2,464,37.29574203491211,4.937280893325806
random,1,2,465,37.404354095458984,4.937280893325806
random,1,2,466,37.346923828125,4.937280893325806
random,1,2,467,37.413291931152344,4.937280893325806
random,1,2,468,37.47465515136719,4.937280893325806
random,1,2,469,37.166194915771484,4.937280893325806
random,1,2,470,37.247520446777344,4.937280893325806
random,1,2,471,36.947452545166016,4.937280893325806
random,1,2,472,37.24456787109375,4.937280893325806
random,1,2,473,37.248756408691406,4.937280893325806
random,1,2,474,37.04753112792969,4.937280893325806
random,1,2,475,36.98321533203125,4.937280893325806
random,1,2,476,37.057796478271484,4.937280893325806
random,1,2,477,37.669952392578125,4.937280893325806
random,1,2,478,37.656063079833984,4.937280893325806
random,1,2,479,37.938201904296875,4.937280893325806
random,1,2,480,37.67261505126953,4.937280893325806
random,1,2,481,37.83274459838867,4.937280893325806
random,1,2,482,37.106014251708984,4.937280893325806
random,1,2,483,36.975746154785156,4.937280893325806
random,1,2,484,36.46272659301758,4.937280893325806
random,1,2,485,36.393070220947266,4.937280893325806
random,1,2,486,36.03036117553711,4.937280893325806
random,1,2,487,36.0096321105957,4.937280893325806
random,1,2,488,35.89353942871094,4.937280893325806
random,1,2,489,35.99535369873047,4.937280893325806
random,1,2,490,36.811485290527344,4.937280893325806
random,1,2,491,36.72248077392578,4.937280893325806
random,1,2,492,36.77110290527344,4.937280893325806
random,1,2,493,36.69961166381836,4.937280893325806
random,1,2,494,36.47072219848633,4.937280893325806
random,1,2,495,36.530975341796875,4.937280893325806
random,1,2,496,36.71088409423828,4.937280893325806
random,1,2,497,36.47283172607422,4.937280893325806
random,1,2,498,36.39401626586914,4.937280893325806
random,1,2,499,36.36597442626953,4.937280893325806
random,1,2,500,36.25278091430664,4.937280893325806
random,1,2,501,36.2322998046875,4.937280893325806
random,1,2,502,35.97608947753906,4.937280893325806
random,1,2,503,35.96540832519531,4.937280893325806
random,1,2,504,36.213958740234375,4.937280893325806
random,1,2,505,36.093482971191406,4.937280893325806
random,1,2,506,36.18344497680664,4.937280893325806
random,1,2,507,36.21438980102539,4.937280893325806
random,1,2,508,35.85576629638672,4.937280893325806
random,1,2,509,35.91877746582031,4.937280893325806
random,1,2,510,35.6511344909668,4.937280893325806
random,1,2,511,35.69782257080078,4.937280893325806
random,1,2,512,35.67622756958008,4.937280893325806
random,1,2,513,35.769287109375,4.937280893325806
random,1,2,514,35.5380859375,4.937280893325806
random,1,2,515,35.53559494018555,4.937280893325806
random,1,2,516,35.81827926635742,4.937280893325806
random,1,2,517,35.90447235107422,4.937280893325806
random,1,2,518,35.87066650390625,4.937280893325806
random,1,2,519,35.76918411254883,4.937280893325806
random,1,2,520,35.79664611816406,4.937280893325806
random,1,2,521,36.09269332885742,4.937280893325806
random,1,2,522,35.36780548095703,4.937280893325806
random,1,2,523,35.583736419677734,4.937280893325806
random,1,2,524,35.35614013671875,4.937280893325806
random,1,2,525,35.897003173828125,4.937280893325806
random,1,2,526,35.91767883300781,4.937280893325806
random,1,2,527,35.80677032470703,4.937280893325806
random,1,2,528,35.45330810546875,4.937280893325806
random,1,2,529,35.233211517333984,4.937280893325806
random,1,2,530,35.46782302856445,4.937280893325806
random,1,2,531,35.47676086425781,4.937280893325806
random,1,2,532,35.051185607910156,4.937280893325806
random,1,2,533,34.64833068847656,4.937280893325806
random,1,2,534,34.54961395263672,4.937280893325806
